year,locationcode,subbrandcode,country,storename,abm,user_country,user_channel,openingdate,store_opg_year,storetype,customer,docdate,ulp,mobileno,nps,hni,gep,indian,nr,tourist,forbill,invoice_type,usd_conv,aed_conv,inr_conv,totalbill,studbill,gender,maritalstatus,nationality,community,enroll_loccode,kpitypea,rcluster,product_group,user_region,tep,active_repeat,catchment,ltltype,target_field,walkins,conversions,qty,salesvalue,actwt,discount,tax,nsv,makingcharge,goldprice,stonevalue,usd_salesvalue,usd_discount,usd_tax,usd_nsv,usd_makingcharge,usd_goldprice,usd_stonevalue,aed_salesvalue,aed_discount,aed_tax,aed_nsv,aed_makingcharge,aed_goldprice,aed_stonevalue,inr_salesvalue,inr_discount,inr_tax,inr_nsv,inr_makingcharge,inr_goldprice,inr_stonevalue,studdedsales,plainsales,gep_salesvalue,studded_qty,studgep_salesvalue,totalbuyers,studdedbuyers,plainbuyers,btq
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001613733,31/12/2025,600001613733,b65fb1de15a19ab6d594e04f76a6b3d7,NA,HNI,N,Y,REPEAT,N,2025XAH232,STORE,0.2674,1,23,1,0,MALE,MARRIED,NOTMAPPED,HINDI,XAH,ACTUALS,COINS,COINS,EOA,N,Y,ABU DHABI,LTL,0,0,0,1,4382.46,9,5,4,4385.46,198.46,4194,9,1179.27,10,10,1176.27,55.394204,1122.87,6,4382.46,9,8,4386.46,189.46,4197,10,"1,00,659.58",9,3,"1,00,662.58",4344.58,96325,7,2,0,0,0,0,1,0,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000051737,01/12/2025,600000051737,32c8dc57b85b295c8203248ea3ca127a,NA,N,N,Y,REPEAT,N,2025XAH3700,STORE,0.2674,1,23,1,1,MALE,MARRIED,NOTMAPPED,MALAYALAM,XAH,ACTUALS,STUDDED,STUDDED,EOA,N,N,ABU DHABI,LTL,0,0,0,5,8777.61,16.789,424.75,405.8,7964.06,1676.62,2901.19,3820,2355.8,120.97375,110.37172,2130.45,448.921588,779.639006,1029.86,8778.61,426.75,401.8,7965.06,1677.62,2894.19,3819,"2,01,776.03",9636.25,9158.4,"1,82,992.38",38360.26,66551.37,87726,2355.8,0,0,5,0,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001632204,01/12/2025,600001632204,f2f062f0fcb550c9c9dd1722fe928997,NA,N,N,N,NEW,Y,2025XAH3706,STORE,0.2674,1,23,1,0,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,1,2707.14,6.905,34.62,134.5,2556.02,277.18,2306.46,8,732.354436,13.385588,36.0935,690.875348,76.850532,623.410404,2,2710.14,35.62,128.5,2559.02,277.18,2302.46,5,62221.22,641.26,2941.5,58652.46,6359.14,52942.58,5,9,723.354436,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001632857,01/12/2025,600001632857,49d5c5347894ed3432c7aa069b82cbc8,NA,N,N,Y,NEW,N,2025XAH3710,STORE,0.2674,1,23,1,0,MALE,SINGLE,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,1,591.86,10.913,3,37.9,565.96,128.43,436.53,1,159.658964,3,9.46046,157.198504,41.539982,124.658522,3,587.86,3,28.9,564.96,127.43,439.53,8,13476.78,5,647.7,12842.08,2890.89,9955.19,2,2,156.658964,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001633582,01/12/2025,600001633582,5e2ad54efde8a2175c9aa984f37de872,NA,N,N,N,NEW,Y,2025XAH3715,STORE,0.2674,1,23,1,1,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,STUDDED,STUDDED,EOA,N,N,ABU DHABI,LTL,0,0,0,1,8734.56,16.518,7,423.88,8320.68,1654.52,3686.16,2997,2341.35,7,116.206312,2232.15,441.012048,986.609584,802.526,8741.56,5,418.88,8322.68,1646.52,3685.16,2999,"2,00,879.88",10,9566.24,"1,91,315.64",37851.96,84690.68,68779,2340.35,0,0,1,0,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001618641,04/12/2025,600001618641,aa21deabdb647fe9e246039ae82bb385,NA,N,N,Y,REPEAT,Y,2025XAH4,STORE,0.2674,1,23,1,1,FEMALE,SINGLE,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,STUDDED,STUDDED,EOA,N,Y,ABU DHABI,LTL,0,0,0,1,919.34,1.423,1,50.54,871.8,166.08,168.62,562.1,247.494516,9,14.642596,233.85192,48.805392,47.414988,151.63154,920.34,6,45.54,877.8,170.08,163.62,554.1,21031.82,3,1003.42,20032.4,3682.84,3654.26,12705.3,249.494516,0,0,1,0,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001643482,07/12/2025,600001643482,faff5b0211a815d1b8f70b6177056a03,NA,N,Y,Y,NEW,N,2025XAH34,STORE,0.2674,1,23,1,0,MALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,1,3592.43,8.893,67.23,169.77,3362.43,669.26,2762.4,5,969.813582,18.709902,45.861698,898.241982,187.088324,746.86356,8,3596.43,75.23,175.77,3357.43,669.26,2760.4,7,82563.89,1532.29,3865.71,77180.89,15239.98,63471.2,3,5,959.813582,3589.43,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000912490,17/12/2025,600000912490,694edab6fb436b1b154815283a428e51,PROMOTERS,N,N,Y,REPEAT,N,2025XAH111,STORE,0.2674,1,23,1,0,FEMALE,SINGLE,NOTMAPPED,OTHERS,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,Y,ABU DHABI,LTL,0,0,0,1,3025.39,11.132,6,150.69,2880.7,545.36,2344.34,4,814.850086,8,47.422706,774.42738,153.690064,629.737316,5,3023.39,1,151.69,2875.7,545.36,2343.34,7,69405.97,7,3312.87,66101.1,12365.28,53740.82,7,3,806.850086,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001676151,26/12/2025,600001676151,c369b22f9f5ec250221059c90180d2f4,NA,N,N,N,NEW,N,2025XAH179,STORE,0.2674,1,23,1,1,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,STUDDED,STUDDED,EOA,N,N,ABU DHABI,LTL,0,0,0,1,1166.24,4.449,63.84,53.59,1057.81,212.01,601.43,305.21,314.585176,26.268616,22.062566,287.253994,66.156674,165.020182,84.345754,1175.24,67.84,61.59,1058.81,211.01,599.43,307.21,26806.52,1404.32,1211.57,24200.63,4837.23,13764.89,7000.83,313.585176,0,0,1,0,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001669883,28/12/2025,600001669883,7950a3664039903fdc29b44811d3d8d4,NA,N,N,Y,REPEAT,Y,2025XAH192,STORE,0.2674,1,23,1,0,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XDF,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,2,23329.55,40.373,339.45,1102.67,21898.43,3334.49,18904.39,8,6236.92,95.89713,295.714758,5857.3,895.968626,5056.23,2,23330.55,339.45,1102.67,21896.43,3328.49,18905.39,8,"5,36,382.65",7655.35,25181.41,"5,03,557.89",76471.27,"4,34,740.97",9,9,6235.92,0,0,0,1,0,1,XAH
